doing,VERB,0,0,0,1,0,0,0,0,0
suddenly,ADV,0,4,0,1,0,0,0,0,0
off,ADP,0,0,0,1,0,0,0,0,0
everything,PRON,0,0,0,1,0,0,0,0,0
lumberjacks,NOUN,0,0,0,1,0,0,0,0,0
guy,NOUN,0,0,0,1,0,0,0,0,0
used,VERB,1,0,0,1,0,0,0,0,0
work,VERB,0,0,0,1,0,0,0,0,0
pistol,NOUN,0,0,0,1,0,0,0,0,0
noticed,VERB,0,0,0,1,0,0,0,0,0
at,ADP,0,2,0,1,0,2,1,0,0
cut,VERB,1,0,0,1,0,0,0,0,0
stomache,NOUN,2,0,0,3,0,0,0,0,0
were,AUX,0,3,0,1,0,3,0,3,0
safe,ADJ,0,0,0,1,0,0,0,0,0
feed,VERB,0,0,0,1,0,0,0,1,0
charcoal,NOUN,0,0,0,1,0,0,0,0,0
pile,NOUN,0,0,0,1,0,0,0,0,0
coal,NOUN,0,0,0,2,0,0,0,0,0
that,PRON,0,4,0,2,0,0,0,0,0
his,PRON,0,0,0,2,0,2,0,3,0
hot,ADJ,0,0,0,1,0,0,0,0,0
from,ADP,0,0,0,2,0,0,0,0,0
all,DET,0,1,0,1,0,1,0,0,1
everyone,PRON,0,0,0,1,0,0,0,0,0
laughing,VERB,0,0,0,1,0,0,0,1,0
look,VERB,0,0,0,1,0,0,0,0,0
man,NOUN,0,1,0,1,0,2,1,5,0
Roja,ADJ,0,0,2,0,6,1,0,0,2
Charles,PROPN,0,0,0,1,1,0,0,0,0
Perrault,PROPN,0,0,0,1,1,0,0,0,0
contenta,ADJ,0,0,0,0,2,0,2,0,0
bailando,VERB,0,0,0,0,1,0,0,0,0
capa,NOUN,0,0,0,0,1,0,1,1,0
nueva,ADJ,0,0,0,0,1,0,0,0,0
color,NOUN,0,0,0,0,1,0,0,1,0
mirando,VERB,0,0,0,0,1,0,0,0,0
también,ADV,0,0,1,1,2,1,0,0,0
aplaudiendo,VERB,0,0,0,0,1,0,0,0,0
bailaba,VERB,0,0,0,0,1,0,0,0,0
cantaban,VERB,0,0,0,0,1,0,0,0,0
dijo,VERB,0,0,0,0,2,1,0,1,0
adiós,ADV,0,0,0,0,2,2,0,1,0
brazo,NOUN,0,0,0,0,1,0,0,0,0
llevaba,VERB,0,0,0,1,1,0,1,0,0
bebidas,NOUN,0,0,0,0,1,0,0,0,0
comida,NOUN,0,0,0,0,1,0,1,3,3
repente,ADV,0,0,0,0,4,0,0,0,0
salió,VERB,0,0,1,3,3,1,0,0,0
iba,VERB,0,0,0,1,2,0,1,1,1
atacar,VERB,0,0,0,0,3,0,0,0,0
detrás,ADV,0,0,0,1,1,0,0,0,0
venía,VERB,0,0,0,0,1,0,0,0,0
parece,VERB,0,0,0,0,3,0,0,0,0
parecía,VERB,0,0,0,0,1,0,0,0,0
molesto,ADJ,0,0,0,0,1,0,0,0,0
decidió,VERB,0,0,0,0,4,0,0,0,0
entrar,VERB,0,0,0,0,2,0,0,1,0
ella,PRON,0,0,0,3,5,0,3,0,0
darse,VERB,0,0,0,0,1,0,0,0,0
entrando,VERB,0,0,0,0,1,0,0,0,0
pensó,VERB,0,0,0,0,1,0,1,0,0
ocurrió,VERB,0,0,0,0,1,0,0,0,0
plan,NOUN,0,0,0,0,1,0,0,0,0
al,DET,0,0,0,0,1,0,1,1,0
hizo,VERB,0,0,0,0,2,0,0,0,0
después,ADV,0,0,0,0,1,2,3,0,0
sabemos,VERB,0,0,0,0,1,0,0,0,0
vestirse,VERB,0,0,0,0,1,0,0,0,0
hacerse,VERB,0,0,0,0,1,0,0,0,0
pasar,VERB,0,0,0,0,1,0,0,0,0
por,ADP,0,0,3,0,2,1,3,1,0
llegara,VERB,0,0,0,0,1,1,0,0,0
creyera,VERB,0,0,0,0,1,0,0,0,0
entró,VERB,0,0,3,3,2,0,2,1,1
dio,VERB,0,0,0,0,4,0,2,0,0
persona,NOUN,0,0,0,1,2,0,0,0,0
florecitas,NOUN,0,0,0,0,1,0,0,0,0
mesa,NOUN,0,0,0,0,3,0,1,0,0
galletas,NOUN,0,0,0,1,1,0,1,0,0
había,AUX,0,0,0,1,2,0,0,0,1
traído,VERB,0,0,0,0,1,0,0,0,0
verificar,VERB,0,0,0,0,1,0,0,0,0
sentía,VERB,0,0,0,0,2,0,0,0,0
o,CCONJ,0,0,0,0,2,0,0,1,0
creía,VERB,0,0,0,0,2,0,0,0,0
sorprendió,VERB,0,0,0,0,1,0,0,0,0
vio,VERB,0,0,0,1,1,1,1,0,0
unos,DET,0,0,0,0,1,0,0,0,0
que,PRON,0,0,0,0,1,0,0,0,0
acordaba,VERB,0,0,0,0,1,0,0,0,0
esas,DET,0,0,0,0,1,0,1,0,0
tan,ADV,0,0,0,0,3,0,1,0,0
corriendo,VERB,0,0,0,0,2,0,0,0,0
vestido,ADJ,0,0,0,0,1,0,0,0,0
asustó,VERB,0,0,0,0,1,0,1,1,0
comiera,VERB,0,0,0,0,1,0,0,0,0
todo,DET,0,0,0,0,4,0,0,0,0
esto,PRON,0,0,0,0,5,0,0,0,0
tropezó,VERB,0,0,0,0,1,0,0,0,0
noche,NOUN,0,0,0,0,2,0,0,0,0
tumbó,VERB,0,0,0,0,1,0,0,0,0
vela,NOUN,0,0,0,0,1,0,0,0,0
habían,VERB,0,0,0,0,1,0,0,0,0
encima,ADV,0,0,0,0,1,0,0,0,0
parecer,NOUN,0,0,0,0,1,0,0,0,1
además,ADV,0,0,0,0,1,0,0,0,0
cansó,VERB,0,0,0,0,1,0,0,0,0
pudo,AUX,0,0,0,1,1,0,0,0,0
