following,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wanted,VERB,0,1,0,1,0,0,2,1,0,1,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
it,PRON,0,4,5,4,0,1,3,2,0,3,0,3,4,1,0,0,1,1,1,5,2,1,1,0,0,0,0,0,0
looks,VERB,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
like,SCONJ,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0
little,ADJ,0,13,2,7,0,0,0,2,0,10,0,11,6,0,0,0,1,0,1,0,8,9,1,0,0,0,0,0,0
visiting,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
just,ADV,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
coat,NOUN,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
very,ADV,0,2,1,1,0,0,0,0,0,2,5,0,0,1,0,0,1,0,1,3,1,0,0,0,0,0,1,0,0
happy,ADJ,0,3,0,2,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,3,1,0,0,1,0,0,1,0,0
do,AUX,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0
being,AUX,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
left,VERB,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
dunno,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mother,NOUN,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,3,0,1
went,VERB,0,2,1,2,0,2,1,0,0,0,0,1,4,2,1,2,0,0,1,0,0,3,0,2,0,0,3,0,0
visit,VERB,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
again,ADV,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holding,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
basket,NOUN,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1
full,ADJ,0,1,1,2,0,0,0,2,0,1,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
goodies,NOUN,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
